Country                 ,Population,Density,Land Area,Median Age,Urban %
Lebanon                 ,6825445   ,667    ,10230    ,30        ,78
Nicaragua               ,6624554   ,55     ,120340   ,26        ,57
Kyrgyzstan              ,6524195   ,34     ,191800   ,26        ,36
El Salvador             ,6486205   ,313    ,20720    ,28        ,73
Turkmenistan            ,6031200   ,13     ,469930   ,27        ,53
Singapore               ,5850342   ,8358   ,700      ,42        ,-1
Denmark                 ,5792202   ,137    ,42430    ,42        ,88
Finland                 ,5540720   ,18     ,303890   ,43        ,86
Congo                   ,5518087   ,16     ,341500   ,19        ,70
Slovakia                ,5459642   ,114    ,48088    ,41        ,54
Norway                  ,5421241   ,15     ,365268   ,40        ,83
Oman                    ,5106626   ,16     ,309500   ,31        ,87
State of Palestine      ,5101414   ,847    ,6020     ,21        ,80
Costa Rica              ,5094118   ,100    ,51060    ,33        ,80
Liberia                 ,5057681   ,53     ,96320    ,19        ,53
Ireland                 ,4937786   ,72     ,68890    ,38        ,63
Central African Republic,4829767   ,8      ,622980   ,18        ,43
New Zealand             ,4822233   ,18     ,263310   ,38        ,87
Mauritania              ,4649658   ,5      ,1030700  ,20        ,57
Panama                  ,4314767   ,58     ,74340    ,30        ,68
Kuwait                  ,4270571   ,240    ,17820    ,37        ,-1
Croatia                 ,4105267   ,73     ,55960    ,44        ,58
Moldova                 ,4033963   ,123    ,32850    ,38        ,43
Georgia                 ,3989167   ,57     ,69490    ,38        ,58
Eritrea                 ,3546421   ,35     ,101000   ,19        ,63
Uruguay                 ,3473730   ,20     ,175020   ,36        ,96
Bosnia and Herzegovina  ,3280819   ,64     ,51000    ,43        ,52
Mongolia                ,3278290   ,2      ,1553560  ,28        ,67
Armenia                 ,2963243   ,104    ,28470    ,35        ,63
Jamaica                 ,2961167   ,273    ,10830    ,31        ,55
Qatar                   ,2881053   ,248    ,11610    ,32        ,96
Albania                 ,2877797   ,105    ,27400    ,36        ,63
Puerto Rico             ,2860853   ,323    ,8870     ,44        ,-1
Lithuania               ,2722289   ,43     ,62674    ,45        ,71
Namibia                 ,2540905   ,3      ,823290   ,22        ,55
